Phases,Image,Enhancement,Focus,Background
3.0,11.0,173.80235431833307,2436.3333333333335,14.017838497578644
3.0,12.0,217.81933209633198,2760.0,12.671051616205363
3.0,13.0,165.17534956150206,2202.0,13.331287058545612
3.0,14.0,183.1842769649562,2556.4444444444443,13.955588802708768
3.0,15.0,150.96397423712816,2189.4444444444443,14.503092247726288
3.0,16.0,142.19740193223353,2041.7777777777778,14.358755856529784
3.0,17.0,154.60917622775983,2109.222222222222,13.642283554470648
3.0,18.0,175.0372933322342,2321.8888888888887,13.26510964998622
3.0,19.0,162.03384073779725,2152.5555555555557,13.28460490570495
3.0,20.0,164.1764404626094,2147.6666666666665,13.0814546875
3.0,21.0,151.6037453939756,2096.8888888888887,13.831379188157014
3.0,22.0,142.36125357733889,1961.6666666666667,13.779498405449033
3.0,23.0,120.80862315860615,1635.0,13.53380211819363
3.0,24.0,103.9558727297459,1396.3333333333333,13.43198125
4.0,0.0,110.15972386543905,1553.2222222222222,14.099728718633092
4.0,1.0,141.89577782187155,1987.7777777777778,14.008716878617268
4.0,2.0,188.508038624326,2689.777777777778,14.268769636599867
4.0,3.0,168.83910592241386,2386.777777777778,14.136403795425016
4.0,4.0,118.5920525500724,1653.6666666666667,13.9441609375
4.0,5.0,168.74784729008022,2366.6666666666665,14.02487027048309
4.0,6.0,142.36563643015913,2083.777777777778,14.636803023741091
4.0,7.0,112.36091626847805,1687.3333333333333,15.017084137170755
4.0,8.0,177.29502331586215,2488.0,14.033106815228946
4.0,9.0,137.34493789876825,2029.2222222222222,14.774641521319737
4.0,10.0,180.45790538873896,2711.5555555555557,15.02597267608961
4.0,11.0,173.64253714734687,2428.0,13.982748927123115
4.0,12.0,229.15118380441845,2910.777777777778,12.702433954092681
4.0,13.0,173.52288562168363,2364.5555555555557,13.626764833261152
4.0,14.0,175.59004853696962,2488.222222222222,14.17063348950746
4.0,15.0,155.35984210799313,2256.3333333333335,14.523272569786212
4.0,16.0,150.25365081603138,2141.4444444444443,14.252195755738414
4.0,17.0,94.82686866034878,1320.7777777777778,13.928307413677704
4.0,18.0,160.462525303148,2108.222222222222,13.13840859876373
4.0,19.0,144.1271876524344,1970.4444444444443,13.671566597110122
4.0,20.0,184.18311534337093,2371.777777777778,12.87728125
4.0,21.0,145.4177712883482,2069.8888888888887,14.234084806488445
4.0,22.0,149.3225078868266,2098.3333333333335,14.052357966849089
4.0,23.0,165.9234570052855,2276.0,13.717168392456395
4.0,24.0,142.75484695808143,1922.6666666666667,13.4683109375
4.0,0.0,111.95084125346688,1553.0,13.872160160760801
4.0,1.0,153.4925622260052,2097.8888888888887,13.667690853970628
4.0,2.0,195.14743255367904,2727.1111111111113,13.974619473207607
4.0,3.0,168.36624461735832,2412.1111111111113,14.326571912280011
4.0,4.0,113.25125353254559,1578.2222222222222,13.9355828125
4.0,5.0,162.2376055155204,2291.3333333333335,14.123318240875625
4.0,6.0,140.26617523213514,2010.7777777777778,14.335443127682192
4.0,7.0,89.14129185547482,1355.0,15.20058742470176
4.0,8.0,176.31524936087482,2479.1111111111113,14.060673254852553
4.0,9.0,117.16638830195699,1748.6666666666667,14.924644277333753
4.0,10.0,183.16960970446195,2736.5555555555557,14.940008661758338
4.0,11.0,170.9872615678233,2431.222222222222,14.218733020985079
4.0,12.0,224.36377219439336,2851.8888888888887,12.711004370250798
4.0,13.0,174.11940262968457,2364.6666666666665,13.580718925941966
4.0,14.0,180.0555371691252,2545.5555555555557,14.137613291861884
4.0,15.0,151.75065276220343,2196.6666666666665,14.475500610260246
4.0,16.0,144.48637556372617,2091.6666666666665,14.476566793968267
4.0,17.0,128.09972812047954,1765.2222222222222,13.780062207173511
4.0,18.0,164.7430456001518,2170.6666666666665,13.176074648608212
4.0,19.0,149.78493228463196,2042.2222222222222,13.634363557620379
4.0,20.0,182.18390545329416,2376.777777777778,13.0460359375
4.0,21.0,156.87214067176913,2218.4444444444443,14.14173628883027
4.0,22.0,155.05382975436322,2181.5555555555557,14.069665734871451
4.0,23.0,150.69331908640544,2074.0,13.763052088664908
4.0,24.0,116.73337319828164,1591.0,13.62935
4.0,0.0,109.9389704013783,1546.3333333333333,14.065379434497114
4.0,1.0,153.0821995974328,2121.8888888888887,13.861107917634552
4.0,2.0,191.20610265272126,2690.5555555555557,14.071494153313122
4.0,3.0,168.12078536987957,2406.8888888888887,14.316426630969723
4.0,4.0,111.41745310902809,1561.3333333333333,14.0133640625
4.0,5.0,161.81770700776437,2304.0,14.238244025355328
4.0,6.0,143.9088070669603,2091.4444444444443,14.533123351313044
4.0,7.0,91.03753048790531,1368.4444444444443,15.03165163982834
4.0,8.0,182.39684228723644,2532.1111111111113,13.882428442064649
4.0,9.0,125.20357994423964,1861.5555555555557,14.86822945785267
4.0,10.0,176.96429266881128,2634.222222222222,14.88561439426749
4.0,11.0,168.3508206285925,2383.0,14.154965156108508
4.0,12.0,225.54704595033527,2832.1111111111113,12.556631363439505
4.0,13.0,165.7437065544299,2268.8888888888887,13.689140517343203
4.0,14.0,177.53596335103683,2525.777777777778,14.22685145084452
