,index,focus_intensity,background_intensity,focus_std,background_std,centre_distance,phase
131,6,2119.135135135135,12.86494399185336,7.491330481106434,0.01020373656857974,226,4
132,7,1421.5945945945946,13.40226920707183,5.695263427347339,0.011409056325995237,160,4
133,8,2542.7297297297296,12.297877552242893,11.313556684919675,0.009820806942486647,226,4
134,9,1903.4054054054054,13.75877453832857,4.917650483835543,0.011105885919127244,357,4
135,10,2813.189189189189,13.319693559704941,8.335972706352194,0.01050069933962704,320,4
136,11,2464.9189189189187,12.564791242362526,8.100120243530155,0.00995045901908388,160,4
137,12,2901.189189189189,11.079520657550189,13.13095461433654,0.008714380689703271,0,4
138,13,2407.4864864864867,11.952670121001557,9.034518789693074,0.01010359260300498,160,4
139,14,2627.7297297297296,12.854713626794913,9.06648188196878,0.00972739263307125,320,4
140,15,2310.4054054054054,13.44194235739102,6.744470934058835,0.010018293435936809,357,4
141,16,2147.2972972972975,12.847524345787194,7.052745541354479,0.00983958860421796,226,4
142,17,1778.7837837837837,12.389616029711274,7.586187049149424,0.009531178445878937,160,4
143,18,2182.7027027027025,11.958961945266905,8.765416544285586,0.009308380456237273,226,4
144,19,2108.5945945945946,12.744590657036746,4.8574206496959595,0.009635298999212666,357,4
145,20,2398.9189189189187,12.791504432730322,9.97061998012104,0.009516761432047683,453,4
146,21,2274.5135135135133,13.274859230861388,7.087950208742256,0.010402747623589585,357,4
147,22,2218.0810810810813,12.795017243149806,6.882227285948508,0.010037732716792236,320,4
148,23,2078.810810810811,13.108916377141488,9.498132363250622,0.010053103808777338,357,4
149,24,1630.6216216216217,13.46416591076349,5.155344493473369,0.010307659544516803,453,4
150,0,1569.2702702702702,13.53814565541084,8.099152590167362,0.00991449969926724,453,4
151,1,2162.027027027027,13.347615268103167,8.209322008546716,0.010078278045384628,357,4
152,2,2876.675675675676,12.792857570726865,10.092418380717524,0.010045374726632137,320,4
153,3,2444.4054054054054,13.069221833336186,8.009988236888399,0.009940195234449837,357,4
154,4,1586.837837837838,13.546960841363022,8.422075544918536,0.010403174985741177,453,4
155,5,2397.108108108108,13.304506323914495,9.052866705831269,0.009967988063640238,357,4
156,6,2117.054054054054,13.090756516455869,6.7536150475351775,0.01035430134385993,226,4
157,7,1364.8108108108108,13.312161982919442,4.850555206500011,0.011320292730563074,160,4
158,8,2541.135135135135,12.201483852196683,13.78257345837025,0.009701447219343445,226,4
159,9,1872.162162162162,13.790043257628918,5.683715478572426,0.010887807301547047,357,4
160,10,2778.6216216216217,13.386672286022351,8.388516216333455,0.010509751376694867,320,4
161,11,2493.4864864864867,12.577896891954337,7.94554343727924,0.010168337413301667,160,4
162,12,2872.7837837837837,11.054291319379075,11.173061567865851,0.008798594764279084,0,4
163,13,2333.7567567567567,12.203713053449485,6.107199813524702,0.010301506831272483,160,4
164,14,2642.2702702702704,12.957305019767581,6.954474588249651,0.009992510904812676,320,4
165,15,2346.0,13.403993522052405,7.19284605226811,0.010200502856970842,357,4
166,16,2124.2702702702704,12.940814920672954,8.75238868771856,0.010057587461395193,226,4
167,17,1867.5405405405406,12.41403134573585,8.90421347841794,0.009331268277606605,160,4
168,18,2217.0,11.929665705386023,12.658231528140677,0.009045548598367559,226,4
169,19,2121.3513513513512,12.791745109449074,6.938024320366842,0.009678812277191721,357,4
170,20,2367.2702702702704,12.732495849663694,8.244319703630719,0.009337837664972214,453,4
171,21,2231.7027027027025,13.256158114977152,6.217845246578132,0.010284694333955286,357,4
172,22,2147.5405405405404,12.85987159629636,6.242435257719106,0.010078897716794507,320,4
173,23,2058.5405405405404,13.133959591983434,9.031767212681473,0.009900019852763219,357,4
174,24,1681.3513513513512,13.307594473634667,6.329890853099233,0.010085649228737708,453,4
175,0,1680.6216216216217,13.35823285526023,8.127216344459157,0.009824475307281881,453,4
176,1,2157.5675675675675,13.066106941758374,8.123277749977117,0.009637099062132332,357,4
177,2,2903.5135135135133,12.705123953858529,8.009273443831178,0.00996287394602316,320,4
178,3,2464.2432432432433,12.848877483783738,7.601699610559634,0.009667051832110245,357,4
179,4,1401.5675675675675,13.650253940680141,5.376346287378848,0.010312871290057217,453,4
180,5,2423.5945945945946,12.89065468346198,9.434829669775516,0.00952090110148757,357,4
181,6,2180.6216216216217,12.523077153468313,6.783983129552082,0.009707507497254386,226,4
182,7,1034.2432432432433,13.242370013178387,5.29873193554557,0.012252843557970834,160,4
183,8,2588.2972972972975,12.20732213455647,11.570463445603234,0.009754689853293991,226,4
184,9,1091.8648648648648,14.068685926509097,5.375751383723834,0.011274224161035276,357,4
185,10,2528.2162162162163,13.45221337007308,7.474146834653977,0.010684128713505598,320,4
186,11,2461.4594594594596,12.428316846086704,7.632309412012417,0.010066210971586295,160,4
187,12,2832.3513513513512,11.057385887145083,13.00447842263864,0.008687307262148648,0,4
188,13,2349.7837837837837,11.84184009652741,7.563428900640264,0.010089950247081711,160,4
189,14,2649.7567567567567,12.791902351571993,8.502086316845268,0.009865775567542449,320,4
190,15,2224.135135135135,13.272764808571086,7.880421334688676,0.010056186700181427,357,4
191,16,2104.9189189189187,12.67702147050266,6.383916329078988,0.009864336389754867,226,4
192,17,2130.4054054054054,12.186139374283318,6.735258714264664,0.009108234562796552,160,4
193,18,2210.5675675675675,11.917794459942836,10.407935146368667,0.00904044739183037,226,4
194,19,2111.837837837838,12.494434484588133,6.214513693235303,0.00938873856340527,357,4
195,20,2324.837837837838,12.764950837768916,8.097697236317513,0.009484970505120436,453,4
196,21,2234.3783783783783,12.831145492820346,9.365584493340561,0.009682916174927716,357,4
197,22,2170.2432432432433,12.82949177634394,7.865691923208875,0.00989734442737199,320,4
198,23,1830.081081081081,13.203591110578651,8.514361037040299,0.009823501110385508,357,4
199,24,1457.4594594594594,13.17610475962279,5.661577676675929,0.010199960496730352,453,4
